TripId	Empcode	NodalName
203813	M0441815	Medavakkam Bus Stop
203888	N0351733	Redhills Bus Stop
203862	M1150091	Thiruninravur Nemilichery
203793	L1033908	Tambaram Camp Road
203831	N0452338	Manali Bus Stop
203850	M0745008	Old Washermenpet Stanley Bus Stop
203772	N0351802	Porur Signal
203750	N0351810	Adambakkam NGO Colony bus Stop
203861	M0542283	Thirunindravur Bus Stop
203791	N0552909	New Perungalathur Bus Stop
203875	E124217	Avadi Velltech Colege
203838	M0340077	KKD Nagar Thiruthangal Nadar College
203763	M1149770	Triplicane Queen Marys College
203765	N0552569	Mogappair Collector Nagar Bus stop
203843	M0542883	Thiruvottiyur Ajex Bus Stop
203831	M0644815	Manali Bus Stop
203896	G017300	Menambedu Bus Stop
203821	M0948688	Perambur Venus Bus Stop
203835	M0441310	Madipakkam Bus Stop
203749	L1235878	Medavakkam Bus Stop
203864	M0542691	Thirunindravur Railway Station
203836	N0452509	Mathur Bus Stop
203848	M0340480	Vyasarpadi Bus Stop
203824	M0541942	Porur Toll Gate
203756	N0351723	Porur Bai kadai
203885	M0644392	Ayapakkam Water Tank
203808	M1049672	Porur Bai kadai
203765	M1149832	Anna Nagar Bus Stop
203790	M0136508	Urapakkam Bus Stop
203820	N0452328	Perambur Bus Stop
203822	M0137331	Kolathur Moogambigai Kovil Bus Stop
203860	N0552582	Kilpauk New Avadi Road
203792	N0552881	Urapakkam Bus Stop
203789	N0452021	Urapakkam Bus Stop
203792	N0653200	Perungalathur Bus Stop
203766	M0543144	Arumbakkam Mega Mart
203831	M1149934	Manali Bus Stop
203816	M0948102	Arasamaram Ramapuram
203820	N0452423	Kolathur Reliance Signal
203758	M0136961	Teynampet SIET College
203803	M0541941	Chrompet Bus Stop
203752	N0452517	Iyyapanthangal Bus Stop
203879	L0529486	Ramapuram Signal
203886	M0440997	Ayapakkam ICF Colony
203797	M1049481	Tambaram East CSI Church
203868	M0745159	Pallikaranai Oil Mill Bus Stop
203888	L0932151	Redhills Bus Stop
203767	L0730968	T Nagar Bus Stop
203769	N0552567	Choolaimedu Bus Stop
203821	L1235641	Perambur Agaram Bus Stop
203758	M0543313	Teynampet Signal
203802	M0847855	Tambaram Sanitorium TB Hospital
203890	N0552994	Pazhavanthangal Subway
203846	K0123610	Ullagaram Bharath Petroleum Bunk
203858	L1134285	Perambur Jamalia
203782	K0724951	Chinmaya Nagar Bus Stop
203860	M1049658	Kilpauk Ega theatre
203762	M0745707	Royapettah Ice House Police Station
203947	M0948717	Ayapakkam TNHB Colony
203783	N0251126	Thoraipakkam PTC Quarters Bus Stop
203839	L0831573	Kodungaiyur MR Nagar Bus Stop
203805	M0643670	Perungudi Bus Stop
203885	N0552700	Ayapakkam Water Tank
203877	M1250432	Ambattur OT Bus Station
203824	M0441001	Nandambakkam Bus Stand
203829	K1226495	Padi Brittania Bus Stop
203873	M0948812	Avadi kamaraj Nagar Bus Stop
203773	L0730589	Saidapet Jones Road
203848	J0721701	Tondiarpet IOC Bus Stop
203768	N0351403	Choolaimedu Bus Stop
203787	M0542080	Maduravoyal MGR University
203842	M0137105	Thiruvottiyur Ajex Bus Stop
203754	M0948455	Thiruverkadu Police Station
203759	M1149858	Nungambakkam Police Station
203790	M0644696	Urapakkam Bus Stop
203883	M0948928	Ambattur Canara Bank
203820	M1150227	Perambur S2 Theatre Sembium
203875	M0643769	Avadi Velltech Colege
203888	N0553096	Redhills Koot Road
203793	M0137368	Tambaram Camp Road
203754	M0746158	Thiruverkadu Bus Depot
203880	N0552712	Thirumullaivoyal Shiva Temple
203840	M0847865	Vyasarpadi Sharma Nagar
203788	M0847193	Urapakkam Bus Stop
203880	N0653192	Thirumullaivoyal Shiva Temple
203807	N0150667	Anakaputhur Bus Stop
203876	I0717761	Thirumullaivoyal Steford Bus Stop
203772	N0452215	Porur Signal
203758	N0552629	Teynampet Signal
203893	M0746029	Kallikuppam Tea Kadai Bus Stop
203856	N0452422	Kilpauk Garden
203792	M1049040	New Perungalathur Bus Stop
203865	N0150685	Thirunindravur Bus Stop
203855	M0136493	Central Wall Tax Road
203788	M0948456	Urapakkam Bus Stop
203841	M1150223	Vyasarpadi Bus Stop
203891	M1250431	Redhills Koot Road
203879	N0251094	Ramapuram DLF
203767	M1049181	Aminjikarai Bus Stop
203794	N0452490	Thoraipakkam PTC Quarters Bus Stop
203862	J1022554	Pattabiram Bus Stop
203780	L1033903	Valasaravakkam Bus Stop
203834	M1150274	Madhavaram Thapalpetti
203775	M0846640	Kodambakkam Sekar Emporium
203845	K0724760	Thiruvottiyur Kaladipet Bus Stop
203867	M1049168	Thirunindravur Railway Station
203884	N0351409	Ayapakkam Baba Kovil
203855	N0351521	Broadway Excellent Hotel
203948	M0238601	MKB Nagar Bus Stop
203794	M0643582	Thoraipakkam Signal
203786	N0452290	Maduravoyal Bus Stop
203870	M0441229	Pattabiram Railway Gate
203836	L1135267	Moolaikadai Bus Stop
203766	M0644042	Kotturpuam AMM School
203885	N0452200	Ayapakkam Water Tank
203797	L0932028	Tambaram East Bus Stop
203803	M0238086	Chrompet Bus Stop
203871	M0441221	Avadi Rama rathna theatre
203867	J1122868	Thirunindravur Railway Station
203859	M0542841	Ayanavaram Railway Quarters
203810	M0239087	Velacherry 100 Ft Road
203845	M0340670	Thiruvottiyur Kaladipet Bus Stop
203900	M0440998	Kundrathur Periyar Nagar
203775	M0238818	Kodambakkam Power House
203780	N0150666	Valasaravakkam Mega Mart
203809	M0644236	Kandanchavadi SP Infocity
203799	J0521472	Mudichur Bus Stop
203770	F075596	MMDA Colony
203771	N0653289	Anna Nagar 12th Main Road
203868	N0553026	Pallikaranai Bus Stop
203852	M0949009	Royapuram kalmandabam
203890	N0553057	Nanganallur Subway
203824	N0351522	Pallikaranai Bus Stop
203865	N0452276	Thirunindravur Bus Stop
203868	L1235456	Pallikaranai Bus Stop
203828	M0237903	Kolathur Teachers Colony
203832	L0328197	Mathur Bus Stop
203760	M1150244	Anna Nagar West Bus Stop
203828	M0643618	Kolathur Teachers Colony
203847	N0653208	Old Washermanpet Maharani bus stop
203835	M1250435	Puzhudhivakkam Bus Stop
203780	M0441246	Valasaravakkam Bus Stop
203750	N0452191	Adambakkam NGO Colony bus Stop
203756	M0239225	Porur Madhnandapuram
203774	M0339598	West Mambalam Ramakrishna Puram
203896	M0542117	Menambedu Bus Stop
203846	M0340598	Ullagaram Bharath Petroleum Bunk
203900	L1134786	Kundrathur Bus Stop
203900	M0238686	Kundrathur Bus Stop
203852	L1235813	Royapuram Kasimedu Signal
203899	M0137212	Mangadu Bus Stop
203847	L0730486	Mint Bus Stop
203778	M0847620	Vadapalani Thirunagar Bus Stop
203830	L0932066	Villivakkam Subway
203892	M0948223	Ambattur Oragadam
203758	N0552648	Teynampet Signal
203867	N0552579	Thirunindravur Railway Station
203890	N0351728	Nanganallur Subway
203802	N0351242	Tambaram Mepz Bus Stop
203874	N0653172	Avadi Paruthipattu
203840	N0552640	Vyasarpadi Sharma Nagar
203844	M0847860	Thiruvotriyur Market Bus Stop
203799	M1150134	Tambaram West Bus Stop
203763	N0653222	Triplicane Post Office
203793	M0541928	Tambaram East Bus Stop
203751	N0351405	Iyyapanthangal Bus Stop
203835	M0238222	Madipakkam Ram Nagar
203825	N0452356	Kolathur Periyar Nagar EB
203828	K1126058	Korattur Bus Stand
203799	J1022576	Mudichur Bus Stop
203777	N0452120	CMBT Bus Stop
203862	M0238477	Pattabiram Bus Stop
203760	M0137840	Anna Nagar West Bus Stop
203774	M0744901	West Mambalam Ramakrishna Puram
203809	L0126923	Kandanchavadi SP Infocity
203771	L1236337	Mogappair Collector Nagar Bus stop
203871	N0552913	Avadi TNHB Colony
203825	M1150371	Kolathur Periyar Nagar Bus Stop
203899	N0150683	Mangadu Bus Stop
203864	M0745210	Thirunindravur Bus Stop
203825	N0452425	Kolathur Periyar Nagar EB
203828	N0653290	Korattur Bus Stand
203847	N0251045	Mint Bus Stop
203852	M0541995	Royapuram kalmandabam
203757	M0441170	RA Puram
203849	M0543018	Old Washermanpet Maharani bus stop
203758	M0948917	Teynampet Signal
203831	K0725047	Mathur Bus Stop
